gene	exprs	cell_type
PPP2R5E	1947.25	teNK
ALDH9A1	453	hNK
TCEA2	136.25	teNK
RNU1-67P	5	hNK
RNVU1-1	5	hNK
RNVU1-14	5	hNK
RNVU1-15	5	hNK
RNVU1-19	5	hNK
PLXND1	45.5	teNK
TGFB3	86.25	teNK
MRPL43	223	hNK
CLN6	36.75	hNK
PLEKHO1	62	teNK
GNRH1	31.5	hNK
CHIC1	176.25	hNK
CLK2	1801.75	teNK
ZNF672	428.5	hNK
ZNF366	5.25	teNK
KLRC4	2914.25	hNK
KLRC4-KLRK1	2914.25	hNK
NMRK1	88.5	hNK
PPOX	284	teNK
MT-ND4	33145	teNK
SMIM10L1	424.75	hNK
CDK2AP1	185.25	teNK
MRPS11	95.5	hNK
KIAA0753	503.75	teNK
UBE4B	1117.5	hNK
C3orf33	23.75	hNK
PCMT1	1052.25	teNK
EGR3	423.25	teNK
DNASE1L2	20.25	hNK
GZMK	3	hNK
CMC1	387.5	teNK
ARHGAP35	414.75	hNK
NFU1	232	hNK
GATD3A	174.25	hNK
GATD3B	174.25	hNK
CDIP1	449.5	teNK
WDHD1	264.75	hNK
TRIM69	11.75	teNK
NEURL3	1352.5	hNK
PAN2	884.5	teNK
TAF1B	510	teNK
VDAC3	510.75	hNK
RAB5C	1355	teNK
SMIM12	84.5	hNK
CR1	2118	teNK
C6orf118	51.5	teNK
EHD1	124.75	hNK
RHOT2	453	teNK
CELSR1	41.75	teNK
ATIC	306.75	teNK
CRB3	3.25	hNK
PI4K2B	156.75	hNK
C12orf65	273.75	teNK
KCTD21	58	hNK
TENT4B	2154	teNK
PIP5K1C	1092.75	hNK
WASHC1	264.25	hNK
EIF4E2	1692.5	teNK
BHLHB9	109.5	hNK
MBD3	603.25	teNK
PQBP1	604.25	hNK
GTDC1	374	hNK
SLC22A3	3.25	teNK
NPLOC4	910.75	hNK
FXN	93.75	teNK
RNU6ATAC23P	5.5	hNK
GNB4	560.5	teNK
C6orf226	36	hNK
MTDH	2009.5	hNK
PITPNM2	271.75	teNK
FLT4	3.25	teNK
RRAGA	434.75	hNK
BAHD1	426.5	hNK
GSTT2	59.25	teNK
GSTT2B	59.25	teNK
BCL2A1	9.75	teNK
MRPL50	225.75	hNK
NDUFAF6	39.25	hNK
DLST	1774.5	teNK
PCSK4	14	hNK
BCAS3	571.75	hNK
PLA2G12A	26.75	hNK
DYRK1A	2995	teNK
MX1	7.75	teNK
ANKRD49	273.25	hNK
DGKE	238.75	hNK
KIAA0355	1157	teNK
SLC27A1	33.5	hNK
CRYZL1	459.5	teNK
FMNL3	373	hNK
EIF2B1	228.5	hNK
PAOX	27.25	hNK
DSTYK	166.75	hNK
RBM33	2985	teNK
TBRG1	583	teNK
KLF8	51.25	hNK
SSBP4	240.5	teNK
EEF2KMT	132	hNK
FAM86B1	132	hNK
FAM86B2	132	hNK
FAM86C1	132	hNK
PIGX	334.75	hNK
IDNK	772	teNK
RUBCN	339.75	hNK
SP1	3095.75	hNK
LARGE1	174.5	teNK
KIAA0930	176	hNK
CDKN3	11.75	teNK
UPB1	3.25	teNK
UROD	228	hNK
PPP3CC	2902.75	teNK
SCYL3	1299	teNK
GPATCH11	486.75	hNK
COPA	4695.5	teNK
RNF44	1061	hNK
C12orf43	207.25	hNK
RASSF6	2.75	hNK
PACSIN3	3.25	hNK
PSEN1	1185.5	hNK
FAM110A	58.25	teNK
TPI1	410.75	hNK
NMT2	719	hNK
FFAR2	3.25	teNK
DMWD	5.25	teNK
ZMIZ2	858.25	hNK
EFL1	333	hNK
TAF9	49.25	hNK
KCNB1	4.25	teNK
RAD54L	78.5	teNK
TCP11X2	4	teNK
ZC3H12C	14.75	teNK
NKIRAS2	131.75	hNK
TKT	1030.75	hNK
MSH5	27.5	teNK
MSH5-SAPCD1	27.5	teNK
HSPG2	9.5	teNK
KLF1	3.25	teNK
EXOSC1	216	hNK
WDFY1	1072.75	teNK
SBDS	692.5	hNK
CDK5RAP1	70.75	hNK
PLOD1	352	teNK
LGR4	18	hNK
LY6E	2801.5	teNK
SLC25A2	47.5	teNK
YRDC	210	teNK
FAM120A	4429	teNK
NTAN1	318.75	hNK
TRAF7	851	teNK
DHRS7	3.25	hNK
PIGG	101.75	hNK
FAM124B	55.75	teNK
SYP	6.75	teNK
PSME2	297	teNK
UNC45A	1119.5	teNK
ALG1	123.5	hNK
ALG1L	123.5	hNK
ALG1L2	123.5	hNK
PBX3	367.25	teNK
NDUFC2	163.5	hNK
NDUFC2-KCTD14	163.5	hNK
SNX15	148.25	hNK
SH2B3	1161.25	teNK
DIRAS2	3	teNK
CLEC7A	3	teNK
SEC22C	269.75	teNK
METTL14	322.25	hNK
ECPAS	2033.5	hNK
FOXRED1	221	teNK
PXK	873.25	teNK
RUSC1	151.5	teNK
GTF2A1L	24.5	teNK
ZBTB5	267	hNK
DPEP2NB	4	teNK
BPGM	235.5	teNK
PIN4	60.25	hNK
COG5	1731.5	teNK
UQCR11	101	hNK
NAT14	14.25	hNK
EME2	92.5	hNK
NEXMIF	4	teNK
UFL1	896.75	teNK
RPP25L	62.5	hNK
MRPS9	446.5	hNK
HES6	239.25	teNK
CYP20A1	228.25	hNK
RASSF8	9.25	hNK
HPS3	1547	teNK
TYMS	119.25	teNK
LDLRAD3	9.5	teNK
KPNA1	2115	teNK
TEX38	2.5	hNK
UBE2W	429.75	hNK
NAT8	58.25	hNK
NAT8B	58.25	hNK
MKLN1	2860.75	teNK
GBP6	36	teNK
RBCK1	1805.75	teNK
PIAS3	705	teNK
USP5	552.75	hNK
SEMA6C	18.75	hNK
AURKAIP1	267.5	hNK
ARMC10	558.5	hNK
SS18L2	148	hNK
DNAJB6	1890.5	teNK
MRPS36	63.75	hNK
GPR146	78.5	teNK
TNFSF9	24.75	teNK
EZR	5007.25	teNK
COL4A2	3.25	teNK
NAP1L5	3.25	teNK
CCDC85C	56.25	hNK
BRWD1	2990.5	teNK
MTG2	185	hNK
COL18A1	4	teNK
FBXW9	62.5	hNK
PSMG4	90	hNK
ARID3B	853.5	teNK
SNORA74A	4.75	hNK
PGRMC2	287.75	hNK
SNORA66	6.75	hNK
TRMT10A	184	teNK
SETDB1	495	hNK
CDK7	231	hNK
LRRC75A	189	teNK
ITPRID2	836.75	teNK
UNC13B	7.5	hNK
MAP1B	4.5	hNK
NR6A1	44.75	hNK
ADAMTS5	3.25	teNK
STRN3	1429	teNK
IDH3B	1087.25	teNK
IGKV4-1	3	teNK
ASPA	3.25	teNK
AKAP1	9	hNK
C2orf42	282.75	hNK
MAST4	110.75	teNK
ZNF429	54	hNK
RHOF	1608.5	teNK
SNORD23	11.5	hNK
MTA2	2799.75	teNK
CNOT1	7896.75	teNK
KATNAL1	167.25	hNK
TNKS2	5870	teNK
CEACAM16	4	teNK
LDHAL6B	7.25	hNK
VPS35	1593.25	hNK
OXLD1	12.5	hNK
NID1	3.5	teNK
LIPT2	14.25	hNK
C9orf3	245.25	teNK
COPG2	588.75	hNK
DHX16	1347	teNK
RRH	12	hNK
DOP1B	1633.25	teNK
LUC7L	1591.75	teNK
IL1B	3.75	teNK
PATZ1	337.25	teNK
POU5F2	22.25	hNK
DUSP16	164.25	hNK
NCKIPSD	80	hNK
SUMF1	323.75	teNK
FBXO22	692.75	teNK
SH2D1B	984	teNK
ATXN10	560.75	hNK
PTPN22	6481.25	teNK
MRPS15	436.5	teNK
MCPH1	293.75	teNK
TACC1	4734.25	teNK
UBE2B	2267.75	teNK
CCT2	1740	hNK
TMEM167B	484.25	hNK
NUMB	405.25	hNK
COG3	1382.5	teNK
GMPR2	219.25	hNK
TRAF3IP3	2516	teNK
RBM10	1170.75	teNK
AP2M1	985.5	hNK
EIF2B4	228	hNK
CHAMP1	312.75	hNK
ELAVL4	254	teNK
AKAP10	745.75	hNK
ACP2	144.5	hNK
HES7	10.25	teNK
LMO7	7.5	teNK
SPAG9	3200.5	teNK
RPL13A	3	hNK
TNIP2	80.75	hNK
MIS12	439.25	hNK
GALNT11	705.75	teNK
ZFP90	148.75	hNK
TMEM150A	22.5	hNK
GLRX2	194	hNK
ZPLD1	3.25	hNK
TARBP1	89.75	hNK
EIF4E	695.25	hNK
CKS1B	86.5	teNK
TRMT2B	642.25	teNK
NUDCD1	262.5	hNK
RANBP3	1371.75	teNK
CALCRL	517	hNK
FANCM	400.5	hNK
PRKCSH	619.75	hNK
CCDC136	9.25	teNK
F8A1	131.25	hNK
F8A2	131.25	hNK
F8A3	131.25	hNK
ABCB4	10	teNK
NPRL2	453.5	teNK
IQCK	9.75	hNK
TAP2	839	teNK
GPR15	23.75	hNK
PSMD12	609	hNK
KLHL12	214.25	hNK
ZFR	2166.5	hNK
PRMT9	823.75	teNK
MAP2K1	669	teNK
MCRS1	277	hNK
CDH24	180.25	hNK
QTRT1	95	hNK
CUEDC2	211	teNK
KLHL26	191	hNK
N4BP2L1	304.5	hNK
AVPR2	7.5	teNK
DTWD1	35.75	hNK
SLC35D3	6	teNK
FLII	3379.25	teNK
PARP6	721.75	teNK
RGCC	10.75	teNK
EID2B	60	hNK
UTP14A	364.5	hNK
UTP14C	364.5	hNK
BCL2L15	5.75	teNK
NEU1	327.75	teNK
SLC9A6	466	teNK
CSF2RB	11.5	teNK
SINHCAF	242.5	hNK
ZNF496	326.5	hNK
AP4E1	879	teNK
TRPM1	3	teNK
SSR3	1572.75	hNK
HTR2A	3	teNK
PRELID1	902.5	hNK
PSRC1	7.75	hNK
NDUFA12	210	hNK
SMN1	220.25	hNK
SMN2	220.25	hNK
SPCS1	289	hNK
CSF3R	3	teNK
GNL3L	749.25	hNK
SPI1	8	teNK
KIAA0586	373.5	hNK
PNKP	395.5	teNK
PAK1	30.5	teNK
FAM3A	146.25	hNK
GPD1L	549.5	teNK
CCDC127	402	hNK
NAT1	239	teNK
NAT2	239	teNK
HLA-A	8.75	teNK
HLA-B	8.75	teNK
HLA-C	8.75	teNK
HLA-E	8.75	teNK
HLA-F	8.75	teNK
HLA-G	8.75	teNK
SSR1	1620.75	hNK
RIOK3	2202.25	teNK
ARL1	761.25	teNK
PSMD8	771.5	hNK
PALB2	174	teNK
METTL21A	56.75	hNK
NAPRT	35.25	teNK
RNF165	3	teNK
ECM2	4.5	hNK
LRP12	10.5	hNK
FGFRL1	27.75	hNK
MMAA	154	hNK
C4orf46	123	teNK
AP1S1	124.75	teNK
CDC40	1662.25	teNK
ITFG2	114.75	hNK
ZBTB46	129	teNK
FAM71B	20.25	teNK
ZMYM2	3750.75	teNK
MAK16	579	hNK
RNASEH2C	233.5	teNK
TIMM13	92.5	hNK
TFPT	97.5	hNK
DHX57	943.5	teNK
GPR137C	88	teNK
GOT2	589.75	hNK
SNORA77	5	hNK
SNORA77B	5	hNK
HMGXB3	411	hNK
RMC1	1106.75	teNK
ADCK5	58.5	hNK
MARS2	315	hNK
ZNF34	930.75	teNK
PLEKHA4	25.5	teNK
ESCO1	3078.5	teNK
OXA1L	508.25	hNK
RICTOR	4604.5	teNK
U2AF1L4	68.25	teNK
SPRYD7	111.5	hNK
CYSLTR1	7.5	hNK
PPP1R8	282.25	hNK
MAN1B1	540	hNK
ANAPC7	408.75	hNK
MAP3K5	796.5	hNK
NUDCD2	134	hNK
ACADS	165.25	hNK
RXRA	568	teNK
SPCS2	838.25	hNK
OXNAD1	129	hNK
HCFC2	643	teNK
HAUS5	62.5	teNK
TSC1	625	hNK
DENND2C	51.25	hNK
UNG	86.25	teNK
FGD4	7	hNK
SMCO4	8.75	hNK
ZMAT5	115.5	hNK
PPP1R21	1308	teNK
SEPT9	2410.5	teNK
MOB4	1474.25	teNK
THBS3	11.75	teNK
FAM131A	13.25	teNK
MRPS7	142.5	hNK
HYPK	62.75	hNK
SERHL2	171.25	teNK
GATD1	197.75	hNK
MED11	203.25	hNK
MAML3	165.5	hNK
ZNF34	248.5	hNK
CSF1R	5.75	teNK
PRADC1	59.25	hNK
CSRNP2	133.5	teNK
RIT1	362.25	hNK
MIR708	15.25	hNK
BRMS1	314.25	teNK
IQANK1	2.75	hNK
CMAS	991	teNK
PLAA	1289.5	teNK
HCAR2	3.5	teNK
HCAR3	3.5	teNK
RFESD	206	teNK
PACSIN2	1143	hNK
COL17A1	4.75	teNK
RBM15B	593.5	hNK
HLA-A	9.75	teNK
HLA-B	9.75	teNK
HLA-C	9.75	teNK
HLA-E	9.75	teNK
HLA-F	9.75	teNK
HLA-G	9.75	teNK
PLEKHO2	928.75	hNK
GGT1	5.5	teNK
GGT2	5.5	teNK
GGTLC1	5.5	teNK
GGTLC2	5.5	teNK
GGTLC3	5.5	teNK
WFIKKN1	27.5	teNK
TARBP2	91.25	hNK
PRICKLE1	5.75	teNK
ASB7	341.5	teNK
SGSM2	271.5	teNK
LLGL2	453.75	teNK
PRPF39	2633	teNK
MGST3	21	hNK
PON2	644.75	hNK
ADAMTS7	6.75	teNK
SERBP1	5576	hNK
TTC37	644	hNK
XRCC2	68	hNK
GOLGA5	1142	teNK
PTRHD1	40.5	hNK
GOSR1	1143.5	teNK
RAB10	3764.25	teNK
H3F3B	1620.75	teNK
CPSF6	3199	teNK
SNORD65	40.5	teNK
SNORD65B	40.5	teNK
SNORD65C	40.5	teNK
RAB40C	201.25	hNK
GLUL	779.25	teNK
ZFX	2282	teNK
PLK4	403.25	teNK
ABCC10	311	teNK
OVOL2	4	teNK
SSH3	194	hNK
HSPA1A	13.75	teNK
HSPA1B	13.75	teNK
AGPS	1959.75	teNK
AGL	351	hNK
EMILIN1	15.75	teNK
RAB2A	1554.5	teNK
TPMT	21.5	teNK
SLC43A3	106.25	teNK
ACHE	8.5	teNK
VASP	2794.25	teNK
MON2	3229	teNK
ENTR1	1488.5	teNK
DUSP19	74.5	teNK
TMSB10	210	teNK
RNASEH2A	153.5	hNK
C1orf53	31	hNK
TIMM23	238.75	hNK
TIMM23B	238.75	hNK
GPSM3	424	teNK
CENPH	58	teNK
CBX7	416.75	teNK
LENG1	104.75	hNK
SYNPO	45.75	teNK
ANXA5	417.5	hNK
C8orf37	149.75	teNK
SUPT6H	3652.25	teNK
CLEC4G	2.75	teNK
PACRGL	170.25	hNK
ZNF233	22.75	hNK
PLA2G16	397	hNK
LIPE	121.25	hNK
TPRN	163.25	hNK
PLEKHF2	642.75	teNK
REPIN1	75.25	hNK
SNRNP27	316.75	hNK
STAG1	4041.75	teNK
LARP1B	333.75	hNK
KAT5	511.5	hNK
MAST3	2248	teNK
PLEKHA8	245.75	teNK
PC	17	hNK
MED4	305.75	hNK
ABCD3	438.5	teNK
CEP170	1329.5	teNK
UCHL3	267	hNK
CGGBP1	3821	teNK
TBC1D10A	361.25	teNK
ANK3	4.75	teNK
ZMAT1	211.5	teNK
GPR62	5.5	teNK
KAT8	273	hNK
NLRP6	2.75	teNK
C1orf54	2.75	teNK
ATG10	46.75	hNK
POLM	630	teNK
TRAPPC5	240.25	hNK
ASTL	68.5	teNK
CTIF	14	teNK
EEF1AKMT4	9	hNK
C5orf24	2271.75	teNK
PIK3C3	1303.25	teNK
PHLDB2	11.25	hNK
HOXB3	100	teNK
NPRL3	206.75	hNK
MCM4	2222	teNK
FH	299.5	hNK
RAF1	1445.75	teNK
MIGA1	274.5	hNK
GTPBP6	249.25	hNK
NAE1	844.5	hNK
ZNF438	88.5	hNK
TET3	1897.75	teNK
ZBED9	41.25	hNK
PPP1R15B	2343.5	hNK
RFXAP	206.75	hNK
ZNF780A	378.5	hNK
FIZ1	283.5	hNK
ARMH3	200	hNK
VAT1	209	hNK
LUC7L3	2595.75	hNK
SF3B5	258.75	hNK
WDR1	6090.5	teNK
AAMP	654	hNK
PLIN2	181.75	hNK
DEGS1	949.5	hNK
ACO2	1027.5	hNK
PREPL	279	hNK
ZADH2	452.5	hNK
CMTR1	188.25	teNK
MIPOL1	116.75	hNK
ATP13A1	1252.75	teNK
HNRNPLL	696.5	teNK
SLC25A27	129.5	teNK
STARD7	752	hNK
RRP36	181	hNK
OSTC	475.5	hNK
KLHDC4	155.25	hNK
FBXW5	408	teNK
PSMB3	37	hNK
POLR2G	268.25	hNK
FES	740	hNK
SLC25A42	61.5	hNK
SIRT3	155	hNK
ZBTB3	20.25	hNK
NADK	587.5	hNK
DCUN1D2	365.25	teNK
CANT1	813	teNK
ZDHHC9	232	hNK
KLHL36	117.5	hNK
SOCS7	618.25	teNK
DSP	843.5	teNK
CERKL	78.75	hNK
DAD1	509	hNK
SCAMP5	3.5	teNK
ZNF569	236	teNK
NKAPD1	427.25	hNK
SRPRB	122.25	hNK
VPS50	440.75	hNK
DCP2	1028	teNK
MASTL	74.75	teNK
BCL2L2	77	teNK
NDRG3	1285.5	teNK
KIAA1143	441.75	teNK
SLC16A3	55.5	teNK
ARSA	183.25	teNK
SEZ6L2	23	hNK
IMPACT	728.25	hNK
HMGN1	822	teNK
SNORD62B	11.25	teNK
RBM26	2223	teNK
IFT88	97.25	hNK
PPFIA1	1621.75	teNK
SLC12A5	5.75	teNK
TMEM35B	96.75	hNK
HK2	50	hNK
SYNJ2BP-COX16	10.75	hNK
RUFY2	550	teNK
RNF220	838.75	hNK
POLR2M	1586	hNK
HSPA14	635.25	teNK
PEX11G	20.5	hNK
CLIC1	2323	hNK
TRAPPC2B	205.25	teNK
SRSF12	6	teNK
AURKA	70.5	teNK
DAZAP1	702	teNK
SCCPDH	106	hNK
SRP19	437.75	hNK
ABCC3	5.25	hNK
ZCCHC24	214.75	teNK
ERP27	35	hNK
RECK	39.25	hNK
PDHX	113.5	hNK
GPR179	9.75	teNK
HCN2	12.25	teNK
RGS9BP	10.25	hNK
MAT2B	1578	teNK
PHRF1	2215.25	teNK
BMP6	3.75	teNK
ARPC5L	652.25	teNK
ZEB1	922.25	hNK
NSDHL	183.75	hNK
SEMA5A	4.5	teNK
SLIT2	4.25	hNK
DONSON	585.25	teNK
SUPT7L	205.75	hNK
ARMC1	967.5	teNK
CCDC82	1958.5	hNK
FUNDC2	227	hNK
SH2D1A	675.5	hNK
PWWP2B	35.25	teNK
SLC25A23	69.25	hNK
PRRT1	47.25	hNK
DNAH17	128.25	teNK
PNLDC1	9	hNK
GATAD2B	2269.5	hNK
ATAT1	89	hNK
PIGY	41.75	teNK
RCE1	184.5	hNK
EML5	369.5	hNK
SHROOM4	8.75	teNK
RNU5A-3P	47	teNK
RNU5E-10P	47	teNK
RNU5E-5P	47	teNK
RNU5E-6P	47	teNK
RNU5E-8P	47	teNK
RNU5F-4P	47	teNK
C7orf43	569	teNK
DGAT1	323.25	teNK
PPAT	810.75	teNK
CXorf38	593.5	hNK
ATP5PB	1381.5	hNK
PTH1R	19	teNK
ARL6IP5	2726.75	teNK
ATG4D	735.5	teNK
RBFOX2	3.5	hNK
PRKD3	4036	teNK
VRK3	971	teNK
MS4A15	36	teNK
SERINC5	519.5	teNK
MAPKAP1	519.5	hNK
DSC2	3.25	hNK
TTC32	68.75	hNK
IGBP1	671	hNK
TNFRSF25	59.5	teNK
PRKACA	459.75	hNK
BAZ2B	2463	teNK
NPHP4	40.5	teNK
LTB4R2	3.5	teNK
ANKZF1	388	teNK
CHURC1	42.25	hNK
KCNA4	3.5	teNK
ZNF266	718.5	hNK
POM121	1086.25	hNK
POM121C	1086.25	hNK
SPNS2	8.75	hNK
RASA4	179.25	hNK
RASA4B	179.25	hNK
FAM133B	562	hNK
ATOX1	194.75	hNK
TMEM150C	3.5	teNK
SBNO2	1389	teNK
CALM3	1405.5	teNK
RTRAF	616.75	hNK
LEF1	1919	teNK
STXBP2	1440.25	teNK
KIN	340.5	teNK
SYCE1L	3.5	teNK
SLC7A7	31	hNK
SMPD4	276	hNK
NYAP1	6.25	teNK
ZNF345	59	hNK
AVL9	1415.75	hNK
SMIM36	119.5	teNK
RNF125	938	teNK
CHD1L	364.75	hNK
C11orf54	88.75	hNK
TMEM39B	161.25	teNK
ANKRD17	5300.5	teNK
ZNF34	17.5	teNK
NADK2	358.25	teNK
MFN2	477.75	hNK
OPRM1	8	hNK
NRM	124.5	teNK
PPIL4	1866	teNK
IAH1	158.75	hNK
RFNG	173.5	teNK
ZC3H12B	30	hNK
MARCKSL1	18.25	teNK
ZNF746	564.25	hNK
MLF2	494.25	hNK
USP44	3.25	hNK
LPAR5	76.25	hNK
RN7SKP255	934.25	hNK
PEX26	146.75	teNK
SNORA38B	9.75	hNK
GATAD2A	3603.25	teNK
CFAP97	558	hNK
VSIG10	106.5	hNK
CCDC74A	4.5	hNK
CCDC74B	4.5	hNK
SMCR8	1290.25	hNK
CFAP20	176.25	hNK
EQTN	10.25	hNK
MAPK8IP3	1990	teNK
S100A13	434	teNK
ZSCAN20	272.25	teNK
SNORD63	8.75	hNK
NRAS	1444.75	hNK
RPAP3	201.75	hNK
LY75	1065	teNK
LY75-CD302	1065	teNK
CRYBG2	9.25	hNK
COMMD5	2.75	hNK
ZDHHC1	37.25	teNK
KANK2	23	hNK
GATM	26	teNK
SETD5	4069.25	teNK
PGAM5	298	hNK
LAMA5	4.75	hNK
STX6	255.5	hNK
ATRAID	239	hNK
SELENOI	432.75	hNK
LMAN1	367.25	hNK
CYP2J2	3.5	hNK
GNAL	137	teNK
PPIL2	1777.25	hNK
MRPL39	305	hNK
AKR7L	35.5	hNK
FBXO42	614.5	hNK
RPH3AL	97.75	teNK
WDR77	266.5	hNK
CAP1	9636.25	teNK
HUWE1	8881	teNK
PRKG1	4.75	teNK
EPB41L5	17.75	hNK
RNF121	298	hNK
RBMX2	187.5	hNK
BOD1	78.5	hNK
BOD1L2	78.5	hNK
ZFP14	66	hNK
TRMT11	223.25	hNK
SPAST	1578.5	teNK
ENO1	1751.25	hNK
VCP	1786.5	hNK
RNU6-1020P	6	hNK
RNU6-1130P	6	hNK
RNU6-152P	6	hNK
RNU6-657P	6	hNK
RNU6-701P	6	hNK
PLEKHM3	497.75	teNK
ORM1	5.75	teNK
ORM2	5.75	teNK
LIX1L	2.25	hNK
HMGN5	843.25	teNK
ADNP2	382.75	hNK
FSBP	48	teNK
RAD54B	48	teNK
PLPPR3	12	teNK
CCDC173	64.5	teNK
ZNF329	436.25	hNK
GMPS	997.25	hNK
TIE1	4.25	teNK
FHOD1	551	teNK
DSCAM	66.25	hNK
PSMB5	80.75	hNK
TMEM102	8	hNK
MIA3	2363.25	teNK
CISD2	1096.75	teNK
MAP3K20	9.25	hNK
NEDD4L	495.5	teNK
KLHDC3	251.25	hNK
LRRTM2	3.5	teNK
DENND3	455.5	hNK
WDR76	474	teNK
TAF1	2970.5	teNK
TAF1L	2970.5	teNK
TTLL1	112.5	hNK
CACTIN	342.25	hNK
DLK2	3.25	teNK
SPTBN4	5.75	teNK
ZNF354C	65.5	teNK
SLC5A3	343	teNK
ESYT2	4893.75	teNK
STT3A	1546	hNK
G2E3	999.75	teNK
ABHD17C	244.25	hNK
SAC3D1	75.25	hNK
ZNF346	189	hNK
COPS2	1750	teNK
TOR3A	166	hNK
MRPL54	88.5	hNK
GTF2A1	1426.25	hNK
IBA57	90.5	teNK
SMAGP	10.5	teNK
VPS13B	4466	teNK
SP110	20.25	teNK
PRPF8	5993.25	hNK
COL19A1	19.25	teNK
CTSE	1497.75	teNK
AFF3	1220.5	teNK
HDDC3	23	hNK
ZC3H18	1646	teNK
S100A1	84.25	hNK
MTERF2	163.5	teNK
MCM9	530.75	hNK
CDKN2AIP	956.5	teNK
MSGN1	7.25	teNK
KDM6A	3699.5	teNK
HSDL2	639.75	teNK
TMEM156	67.5	hNK
FAM217B	10	teNK
JOSD2	336	teNK
NUDT15	45	teNK
KLC4	150.25	hNK
SEL1L3	2.25	hNK
RNASE4	6.25	hNK
AP4S1	244.5	hNK
SCART1	5	hNK
SLC35B1	296.25	hNK
UBA2	1083.5	hNK
D2HGDH	76.5	teNK
ABCA2	3660	teNK
C11orf49	39	hNK
PPP2R1A	1648.75	hNK
ST7L	504.5	teNK
PPP2R5B	236.5	teNK
CYP2C8	3	teNK
AMBRA1	776.25	hNK
ZNF780A	316.5	hNK
KBTBD12	3.5	hNK
CTC1	268	hNK
PARP10	445.25	teNK
FERMT2	3.25	teNK
CLNS1A	446	hNK
CAMSAP3	7	hNK
HSPA4	2279.25	hNK
LRRC61	298	teNK
NINJ1	148.25	hNK
SLC36A1	770.5	teNK
WDR54	3.75	hNK
MRPL55	52	hNK
RHAG	3.25	teNK
NEDD8	420.5	hNK
CTSH	6.5	teNK
SLX4	1124	teNK
B4GALT7	978	teNK
SPA17	9	hNK
LIN37	226.25	hNK
SLFN13	1079.5	teNK
OLR1	8.25	teNK
NF2	1068	teNK
DCTN1	1899.75	teNK
HLA-A	3.25	teNK
HLA-B	3.25	teNK
HLA-C	3.25	teNK
HLA-E	3.25	teNK
HLA-F	3.25	teNK
HLA-G	3.25	teNK
SYNRG	2395.25	teNK
CASS4	18.75	teNK
RNU1-139P	3.25	teNK
RNU1-36P	3.25	teNK
RNU1-76P	3.25	teNK
TARS2	220.25	hNK
AP4B1	28	teNK
RNF227	43.75	hNK
ZNF280B	306.75	teNK
ZC3H14	1693	hNK
SEMA4B	309.25	teNK
ZBTB17	243	teNK
PPP2R3B	312.5	teNK
ATP5MG	462.75	hNK
ATP5MGL	462.75	hNK
XRCC6	188	hNK
KMO	6.25	teNK
HINT1	290.5	hNK
MICAL3	10	teNK
RPL29	62.75	teNK
ALOX15B	5	teNK
IRF2BP2	1503.5	teNK
ANKS3	613.75	teNK
FGD3	896.75	hNK
IQSEC2	28.25	teNK
TF	12.25	teNK
ITPRIPL1	362.75	hNK
TIMP3	6	teNK
IFNAR2	370.75	hNK
RBM34	307.5	hNK
UPF3B	779.25	teNK
DPCD	156.5	teNK
PTPN13	24.5	hNK
IGFBP6	3.25	teNK
ZNF667	82.25	hNK
ITGA3	78.5	hNK
BRDT	52.25	hNK
RSPRY1	1417.25	teNK
MED23	703.5	hNK
HDAC3	414.75	hNK
MED16	340.5	teNK
DAG1	320.75	hNK
CETN2	953.75	teNK
ACBD6	193.25	hNK
ISOC1	406.5	teNK
TAX1BP1	5781	hNK
PARP1	932.75	teNK
HIBCH	159	hNK
PPWD1	946.25	teNK
EIF3H	2090.5	hNK
PUM1	2796.75	teNK
ERO1B	452	teNK
PRPS1	498.5	hNK
RADX	5.25	teNK
COA5	1842.75	teNK
C9orf85	359.5	teNK
LACC1	13.75	teNK
SPHKAP	3.25	teNK
DFFA	313.75	teNK
NDUFC1	156.25	hNK
SVIP	14.5	hNK
VWA5A	323.75	hNK
FBXO39	5.75	teNK
GGT5	22.75	teNK
CFAP126	25.75	teNK
GORASP2	645	hNK
NOL10	704	teNK
SRSF1	4722	teNK
SS18	2065.5	hNK
HMBOX1	739	teNK
MECR	28.75	hNK
ZNF34	50	teNK
ZNF260	1221	teNK
MCM8	44.75	hNK
ASH1L	5353	teNK
CASP2	1043.75	hNK
ZNF394	248	teNK
CDK19	1614	hNK
DHCR7	280.25	teNK
KLHL18	522.75	teNK
BNIP2	1691.25	teNK
PDCD2L	99.5	hNK
FAAP24	147.75	hNK
IMPA2	101.5	teNK
CD200	5	teNK
SPOCK2	21.25	hNK
TRIP6	21.25	teNK
MYOF	3.75	teNK
LAMTOR3	785.5	teNK
HIP1	951.75	hNK
RNU6-1225P	24.75	teNK
FBXO34	255.5	teNK
MKRN2	493.75	teNK
CCSAP	150.75	teNK
RHBDF1	9.25	teNK
CHP1	1461.75	teNK
TMEM246	3.25	teNK
DYSF	2.75	teNK
TEX45	13.5	teNK
COX7B	566.5	hNK
TMED10	1401.25	hNK
SMIM35	6	teNK
LZTFL1	278.25	hNK
SFI1	542.75	teNK
SMPDL3B	3.25	teNK
ATP7A	606.25	teNK
PSMB6	324.25	hNK
SNX21	37.5	hNK
SLC25A37	466	teNK
SYNGAP1	21.75	teNK
LYRM2	191.25	teNK
